s1_t;s1_v;s1_data;s2_t;s2_v;s2_data;s3_t;s3_v;s3_data;s4_t;s4_v;s4_data;DT_RowId;id;unique_id;monster;originID;monster_n;originName;ancient;efficiency;set;slot;grade;level;m_t;m_v;i_t;i_v;locked;sub_res;sub_cdmg;sub_atkf;sub_acc;sub_atkp;sub_defp;sub_deff;sub_hpp;sub_hpf;sub_spd;sub_crate;quality;max_efficiency
"SPD";15;{"enchanted":false,"gvalue":0};"CDmg";7;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_222";222;43434215603;0;0;"Inventory";"Inventory";false;60.71;"Rage";1;6;6;"ATK flat";70;"";0;0;"-";7;"-";"-";"-";"-";"-";"-";"-";15;"-";"Rare";75
"CRate";15;{"enchanted":false,"gvalue":0};"HP%";5;{"enchanted":false,"gvalue":0};"CDmg";4;{"enchanted":false,"gvalue":0};"ATK%";7;{"enchanted":false,"gvalue":0};"row_223";223;31770036224;0;0;"Inventory";"Inventory";false;68.37;"Rage";2;6;15;"SPD";42;"";0;0;"-";4;"-";"-";7;"-";"-";5;"-";"-";15;"Rare";68.37
"CRate";11;{"enchanted":false,"gvalue":0};"HP%";6;{"enchanted":false,"gvalue":0};"DEF%";21;{"enchanted":false,"gvalue":0};"";0;{};"row_224";224;37480653450;0;0;"Inventory";"Inventory";false;78.27;"Rage";2;6;9;"SPD";25;"ACC";6;0;"-";"-";"-";"-";"-";21;"-";6;"-";"-";11;"Hero";85.42
"HP%";11;{"enchanted":false,"gvalue":0};"ATK flat";18;{"enchanted":false,"gvalue":0};"SPD";15;{"enchanted":false,"gvalue":0};"";0;{};"row_225";225;38445326505;0;0;"Inventory";"Inventory";false;70.18;"Rage";2;6;9;"ATK%";38;"ACC";4;0;"-";"-";18;"-";"-";"-";"-";11;"-";15;"-";"Hero";77.32
"ACC";27;{"enchanted":false,"gvalue":0};"HP%";7;{"enchanted":false,"gvalue":0};"RES";5;{"enchanted":false,"gvalue":0};"";0;{};"row_226";226;38972277411;0;0;"Inventory";"Inventory";false;70.54;"Rage";2;6;9;"ATK%";38;"";0;0;5;"-";"-";27;"-";"-";"-";7;"-";"-";"-";"Hero";77.68
"RES";12;{"enchanted":false,"gvalue":0};"CDmg";8;{"enchanted":false,"gvalue":0};"ACC";8;{"enchanted":false,"gvalue":0};"";0;{};"row_227";227;39498218880;0;0;"Inventory";"Inventory";false;63.52;"Rage";2;6;9;"SPD";25;"ATK flat";10;0;12;8;"-";8;"-";"-";"-";"-";"-";"-";"-";"Hero";70.66
"ATK flat";16;{"enchanted":false,"gvalue":0};"DEF flat";31;{"enchanted":false,"gvalue":0};"RES";21;{"enchanted":false,"gvalue":0};"";0;{};"row_228";228;41438275356;0;0;"Inventory";"Inventory";false;69.11;"Rage";2;6;9;"SPD";25;"ATK%";7;0;21;"-";16;"-";"-";"-";31;"-";"-";"-";"-";"Hero";76.25
"CRate";11;{"enchanted":false,"gvalue":0};"ATK flat";25;{"enchanted":false,"gvalue":0};"ATK%";12;{"enchanted":false,"gvalue":0};"";0;{};"row_229";229;41513349969;0;0;"Inventory";"Inventory";false;63.99;"Rage";2;6;9;"SPD";25;"";0;0;"-";"-";25;"-";12;"-";"-";"-";"-";"-";11;"Hero";71.13
"ACC";14;{"enchanted":false,"gvalue":0};"DEF%";20;{"enchanted":false,"gvalue":0};"CDmg";7;{"enchanted":false,"gvalue":0};"";0;{};"row_230";230;41645105286;0;0;"Inventory";"Inventory";false;80.36;"Rage";2;6;9;"ATK%";38;"CRate";6;0;"-";7;"-";14;"-";20;"-";"-";"-";"-";"-";"Hero";87.5
"SPD";11;{"enchanted":false,"gvalue":0};"CDmg";15;{"enchanted":false,"gvalue":0};"ATK flat";14;{"enchanted":false,"gvalue":0};"CRate";6;{"enchanted":false,"gvalue":0};"row_231";231;31519267692;0;0;"Inventory";"Inventory";false;73.76;"Rage";2;6;15;"ATK%";63;"";0;0;"-";15;14;"-";"-";"-";"-";"-";"-";11;6;"Hero";73.76
"SPD";8;{"enchanted":false,"gvalue":0};"DEF flat";10;{"enchanted":false,"gvalue":0};"CDmg";12;{"enchanted":false,"gvalue":0};"HP%";13;{"enchanted":false,"gvalue":0};"row_232";232;43300304519;0;0;"Inventory";"Inventory";false;70.88;"Rage";2;6;9;"ATK%";38;"";0;0;"-";12;"-";"-";"-";"-";10;13;"-";8;"-";"Legend";78.02
"CRate";10;{"enchanted":false,"gvalue":0};"SPD";7;{"enchanted":true,"gvalue":2};"CDmg";12;{"enchanted":false,"gvalue":0};"RES";14;{"enchanted":false,"gvalue":0};"row_233";233;41125188786;0;0;"Inventory";"Inventory";false;80.7;"Rage";2;6;12;"ATK%";47;"";0;0;14;12;"-";"-";"-";"-";"-";"-";"-";7;10;"Legend";80.7
"SPD";14;{"enchanted":false,"gvalue":0};"HP flat";273;{"enchanted":false,"gvalue":0};"DEF%";15;{"enchanted":false,"gvalue":0};"";0;{};"row_234";234;35710965029;0;0;"Inventory";"Inventory";true;66.08;"Rage";3;5;9;"DEF flat";78;"CDmg";3;0;"-";"-";"-";"-";"-";15;"-";"-";273;14;"-";"Hero";73.22
"SPD";16;{"enchanted":false,"gvalue":0};"RES";4;{"enchanted":false,"gvalue":0};"CRate";5;{"enchanted":false,"gvalue":0};"";0;{};"row_235";235;39312368837;0;0;"Inventory";"Inventory";false;64.29;"Rage";3;6;9;"DEF flat";94;"";0;0;4;"-";"-";"-";"-";"-";"-";"-";"-";16;5;"Rare";71.43
"HP flat";274;{"enchanted":false,"gvalue":0};"SPD";11;{"enchanted":false,"gvalue":0};"DEF%";19;{"enchanted":false,"gvalue":0};"";0;{};"row_236";236;39317602361;0;0;"Inventory";"Inventory";false;72.85;"Rage";3;6;9;"DEF flat";94;"ACC";5;0;"-";"-";"-";"-";"-";19;"-";"-";274;11;"-";"Hero";79.99
"RES";7;{"enchanted":false,"gvalue":0};"SPD";19;{"enchanted":false,"gvalue":0};"ACC";5;{"enchanted":false,"gvalue":0};"";0;{};"row_237";237;39498769999;0;0;"Inventory";"Inventory";false;69.05;"Rage";3;6;9;"DEF flat";94;"";0;0;7;"-";"-";5;"-";"-";"-";"-";"-";19;"-";"Hero";76.19
"CRate";10;{"enchanted":false,"gvalue":0};"RES";11;{"enchanted":false,"gvalue":0};"SPD";10;{"enchanted":false,"gvalue":0};"";0;{};"row_238";238;41323686221;0;0;"Inventory";"Inventory";false;69.35;"Rage";3;6;9;"DEF flat";94;"";0;0;11;"-";"-";"-";"-";"-";"-";"-";"-";10;10;"Hero";76.49
"RES";18;{"enchanted":false,"gvalue":0};"SPD";6;{"enchanted":false,"gvalue":0};"DEF%";7;{"enchanted":false,"gvalue":0};"";0;{};"row_239";239;37515562564;0;0;"Inventory";"Inventory";false;72.32;"Rage";3;6;9;"DEF flat";94;"CRate";6;0;18;"-";"-";"-";"-";7;"-";"-";"-";6;"-";"Rare";79.46
"ACC";13;{"enchanted":false,"gvalue":0};"CRate";6;{"enchanted":false,"gvalue":0};"SPD";11;{"enchanted":false,"gvalue":0};"";0;{};"row_240";240;41513349970;0;0;"Inventory";"Inventory";false;67.56;"Rage";3;6;9;"DEF flat";94;"";0;0;"-";"-";"-";13;"-";"-";"-";"-";"-";11;6;"Hero";74.7
"ACC";8;{"enchanted":false,"gvalue":0};"SPD";11;{"enchanted":false,"gvalue":0};"CDmg";14;{"enchanted":false,"gvalue":0};"";0;{};"row_241";241;41605158912;0;0;"Inventory";"Inventory";false;70.24;"Rage";3;6;9;"DEF flat";94;"";0;0;"-";14;"-";8;"-";"-";"-";"-";"-";11;"-";"Hero";77.38
"SPD";11;{"enchanted":false,"gvalue":0};"DEF%";14;{"enchanted":false,"gvalue":0};"HP flat";429;{"enchanted":false,"gvalue":0};"";0;{};"row_242";242;41634888956;0;0;"Inventory";"Inventory";true;65.4;"Rage";3;5;9;"DEF flat";78;"HP%";6;0;"-";"-";"-";"-";"-";14;"-";"-";429;11;"-";"Hero";72.54
"SPD";11;{"enchanted":false,"gvalue":0};"CRate";11;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_243";243;41636039326;0;0;"Inventory";"Inventory";false;61.9;"Rage";3;6;6;"DEF flat";70;"";0;0;"-";"-";"-";"-";"-";"-";"-";"-";"-";11;11;"Rare";76.19
"SPD";13;{"enchanted":false,"gvalue":0};"HP flat";535;{"enchanted":false,"gvalue":0};"HP%";6;{"enchanted":false,"gvalue":0};"";0;{};"row_244";244;41647248214;0;0;"Inventory";"Inventory";false;66.11;"Rage";3;6;9;"DEF flat";94;"RES";5;0;"-";"-";"-";"-";"-";"-";"-";6;535;13;"-";"Hero";73.25
"HP flat";263;{"enchanted":false,"gvalue":0};"ACC";9;{"enchanted":false,"gvalue":0};"DEF%";9;{"enchanted":false,"gvalue":0};"SPD";11;{"enchanted":false,"gvalue":0};"row_245";245;41808233462;0;0;"Inventory";"Inventory";false;67.39;"Rage";3;5;12;"DEF flat";99;"HP%";6;0;"-";"-";"-";9;"-";9;"-";"-";263;11;"-";"Legend";67.39
"RES";8;{"enchanted":false,"gvalue":0};"SPD";15;{"enchanted":false,"gvalue":0};"CDmg";10;{"enchanted":false,"gvalue":0};"";0;{};"row_246";246;37508823519;0;0;"Inventory";"Inventory";false;75.38;"Rage";3;6;9;"DEF flat";94;"ACC";5;0;8;10;"-";"-";"-";"-";"-";"-";"-";15;"-";"Hero";82.53
"ACC";7;{"enchanted":false,"gvalue":0};"CDmg";11;{"enchanted":false,"gvalue":0};"SPD";16;{"enchanted":false,"gvalue":0};"";0;{};"row_247";247;41258304764;0;0;"Inventory";"Inventory";false;79.38;"Rage";3;6;9;"DEF flat";94;"HP%";8;0;"-";11;"-";7;"-";"-";"-";"-";"-";16;"-";"Hero";86.52
"CDmg";15;{"enchanted":false,"gvalue":0};"SPD";12;{"enchanted":false,"gvalue":0};"HP%";6;{"enchanted":false,"gvalue":0};"RES";12;{"enchanted":false,"gvalue":0};"row_248";248;41622174522;26;0;"Baleygr";"Inventory";false;81.38;"Rage";3;6;12;"DEF flat";118;"";0;0;12;15;"-";"-";"-";"-";"-";6;"-";12;"-";"Legend";81.38
"DEF flat";30;{"enchanted":false,"gvalue":0};"RES";8;{"enchanted":false,"gvalue":0};"CDmg";15;{"enchanted":false,"gvalue":0};"ACC";16;{"enchanted":false,"gvalue":0};"row_249";249;6891960416;0;0;"Inventory";"Inventory";false;77.81;"Rage";4;6;15;"ATK%";63;"";0;0;8;15;"-";16;"-";"-";30;"-";"-";"-";"-";"Legend";77.81
"RES";22;{"enchanted":false,"gvalue":0};"HP%";8;{"enchanted":false,"gvalue":0};"DEF%";6;{"enchanted":false,"gvalue":0};"";0;{};"row_250";250;40092649817;0;0;"Inventory";"Inventory";false;70.7;"Rage";4;6;9;"CDmg";47;"HP flat";299;0;22;"-";"-";"-";"-";6;"-";8;"-";"-";"-";"Rare";77.85
"RES";22;{"enchanted":false,"gvalue":0};"HP%";10;{"enchanted":false,"gvalue":0};"CRate";11;{"enchanted":false,"gvalue":0};"";0;{};"row_251";251;40501019146;0;0;"Inventory";"Inventory";true;77.38;"Rage";4;6;9;"ATK%";38;"";0;0;22;"-";"-";"-";"-";"-";"-";10;"-";"-";11;"Hero";84.52
"SPD";12;{"enchanted":false,"gvalue":0};"DEF flat";12;{"enchanted":false,"gvalue":0};"CRate";11;{"enchanted":false,"gvalue":0};"";0;{};"row_252";252;40936445127;0;0;"Inventory";"Inventory";false;65.24;"Rage";4;6;9;"CDmg";47;"";0;0;"-";"-";"-";"-";"-";"-";12;"-";"-";12;11;"Hero";72.38
"CRate";15;{"enchanted":false,"gvalue":0};"HP%";5;{"enchanted":false,"gvalue":0};"SPD";4;{"enchanted":false,"gvalue":0};"";0;{};"row_253";253;39498690953;0;0;"Inventory";"Inventory";false;62.8;"Rage";4;6;9;"CDmg";47;"";0;0;"-";"-";"-";"-";"-";"-";"-";5;"-";4;15;"Rare";69.94
"HP%";21;{"enchanted":false,"gvalue":0};"ACC";7;{"enchanted":false,"gvalue":0};"HP flat";542;{"enchanted":false,"gvalue":0};"SPD";6;{"enchanted":false,"gvalue":0};"row_254";254;41957275214;0;0;"Inventory";"Inventory";true;73.02;"Rage";4;6;12;"CRate";43;"";0;0;"-";"-";"-";7;"-";"-";"-";21;542;6;"-";"Hero";73.02
"ATK%";15;{"enchanted":false,"gvalue":0};"RES";5;{"enchanted":false,"gvalue":0};"HP%";15;{"enchanted":false,"gvalue":0};"SPD";15;{"enchanted":false,"gvalue":0};"row_255";255;41185535095;27;0;"Verdehile";"Inventory";false;84.82;"Rage";4;6;15;"CRate";58;"";0;1;5;"-";"-";"-";15;"-";"-";15;"-";15;"-";"Legend";84.82
"ACC";8;{"enchanted":false,"gvalue":0};"CDmg";23;{"enchanted":false,"gvalue":0};"DEF%";5;{"enchanted":false,"gvalue":0};"RES";10;{"enchanted":false,"gvalue":0};"row_256";256;39538249793;0;0;"Inventory";"Inventory";false;79.72;"Rage";4;6;15;"CRate";58;"";0;0;10;23;"-";8;"-";5;"-";"-";"-";"-";"-";"Legend";79.72
"HP%";20;{"enchanted":false,"gvalue":0};"SPD";6;{"enchanted":false,"gvalue":0};"ATK flat";20;{"enchanted":false,"gvalue":0};"";0;{};"row_257";257;38242185272;0;0;"Inventory";"Inventory";false;68.75;"Rage";4;6;9;"CDmg";47;"DEF%";5;0;"-";"-";20;"-";"-";"-";"-";20;"-";6;"-";"Rare";75.89
"SPD";12;{"enchanted":false,"gvalue":0};"DEF%";7;{"enchanted":false,"gvalue":0};"ATK%";19;{"enchanted":false,"gvalue":0};"ACC";11;{"enchanted":true,"gvalue":0};"row_258";258;31441287970;26;0;"Baleygr";"Inventory";false;83.04;"Rage";4;6;15;"CDmg";80;"";0;0;"-";"-";"-";11;19;7;"-";"-";"-";12;"-";"Legend";83.04
"SPD";14;{"enchanted":false,"gvalue":0};"DEF flat";11;{"enchanted":false,"gvalue":0};"ATK%";13;{"enchanted":false,"gvalue":0};"";0;{};"row_259";259;36228933593;0;0;"Inventory";"Inventory";false;65.95;"Rage";5;6;9;"HP flat";1440;"";0;0;"-";"-";"-";"-";13;"-";11;"-";"-";14;"-";"Hero";73.1
"DEF%";27;{"enchanted":false,"gvalue":0};"ACC";4;{"enchanted":false,"gvalue":0};"SPD";5;{"enchanted":false,"gvalue":0};"";0;{};"row_260";260;38322460090;0;0;"Inventory";"Inventory";false;72.92;"Rage";5;6;9;"HP flat";1440;"DEF flat";20;0;"-";"-";"-";4;"-";27;"-";"-";"-";5;"-";"Hero";80.06
"SPD";16;{"enchanted":false,"gvalue":0};"ATK flat";31;{"enchanted":false,"gvalue":0};"DEF flat";15;{"enchanted":false,"gvalue":0};"";0;{};"row_261";261;40137441171;0;0;"Inventory";"Inventory";false;66.55;"Rage";5;6;9;"HP flat";1440;"RES";4;0;"-";"-";31;"-";"-";"-";15;"-";"-";16;"-";"Hero";73.69
"SPD";6;{"enchanted":false,"gvalue":0};"CDmg";9;{"enchanted":false,"gvalue":0};"RES";20;{"enchanted":false,"gvalue":0};"";0;{};"row_262";262;39282111638;0;0;"Inventory";"Inventory";false;76.15;"Rage";5;6;9;"HP flat";1440;"ATK%";7;0;20;9;"-";"-";"-";"-";"-";"-";"-";6;"-";"Hero";83.29
"SPD";12;{"enchanted":false,"gvalue":3};"ATK%";6;{"enchanted":false,"gvalue":0};"DEF%";20;{"enchanted":false,"gvalue":0};"";0;{};"row_263";263;35349507891;0;0;"Inventory";"Inventory";false;73.21;"Rage";5;6;9;"HP flat";1440;"";0;0;"-";"-";"-";"-";6;20;"-";"-";"-";12;"-";"Hero";80.36
"ACC";18;{"enchanted":false,"gvalue":0};"DEF flat";10;{"enchanted":false,"gvalue":0};"CDmg";11;{"enchanted":false,"gvalue":0};"";0;{};"row_264";264;40137527119;0;0;"Inventory";"Inventory";false;71.94;"Rage";5;6;9;"HP flat";1440;"SPD";6;0;"-";11;"-";18;"-";"-";10;"-";"-";"-";"-";"Hero";79.08
"SPD";14;{"enchanted":false,"gvalue":0};"DEF flat";18;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_265";265;42912618560;0;0;"Inventory";"Inventory";false;60.95;"Rage";5;6;6;"HP flat";1080;"ATK%";6;0;"-";"-";"-";"-";"-";"-";18;"-";"-";14;"-";"Rare";75.24
"RES";6;{"enchanted":false,"gvalue":0};"HP%";27;{"enchanted":false,"gvalue":0};"SPD";5;{"enchanted":false,"gvalue":0};"";0;{};"row_266";266;37936239512;0;0;"Inventory";"Inventory";false;78.27;"Rage";5;6;9;"HP flat";1440;"ACC";8;0;6;"-";"-";"-";"-";"-";"-";27;"-";5;"-";"Hero";85.42
"DEF%";13;{"enchanted":false,"gvalue":0};"DEF flat";24;{"enchanted":false,"gvalue":0};"ACC";5;{"enchanted":false,"gvalue":0};"SPD";15;{"enchanted":false,"gvalue":0};"row_267";267;22559172582;0;0;"Inventory";"Inventory";false;73.93;"Rage";5;6;12;"HP flat";1800;"";0;0;"-";"-";"-";5;"-";13;24;"-";"-";15;"-";"Legend";73.93
"CDmg";12;{"enchanted":false,"gvalue":0};"CRate";11;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_268";268;40837698135;0;0;"Inventory";"Inventory";false;61.05;"Rage";6;6;6;"ATK%";29;"";0;0;"-";12;"-";"-";"-";"-";"-";"-";"-";"-";11;"Rare";75.34
"CRate";10;{"enchanted":false,"gvalue":0};"ATK flat";29;{"enchanted":false,"gvalue":0};"CDmg";11;{"enchanted":false,"gvalue":0};"SPD";6;{"enchanted":true,"gvalue":0};"row_269";269;39451925013;26;0;"Baleygr";"Inventory";false;76.52;"Rage";6;6;12;"ATK%";47;"ACC";6;0;"-";11;29;"-";"-";"-";"-";"-";"-";6;10;"Hero";76.52
"SPD";10;{"enchanted":false,"gvalue":0};"ATK flat";19;{"enchanted":true,"gvalue":0};"CRate";12;{"enchanted":false,"gvalue":0};"HP flat";190;{"enchanted":false,"gvalue":0};"row_270";270;37515549906;0;0;"Inventory";"Inventory";false;73.36;"Rage";6;6;12;"ATK%";47;"ACC";7;0;"-";"-";19;"-";"-";"-";"-";"-";190;10;12;"Legend";73.36
"SPD";16;{"enchanted":false,"gvalue":0};"HP flat";280;{"enchanted":false,"gvalue":0};"ATK%";6;{"enchanted":false,"gvalue":0};"";0;{};"row_271";271;40922848354;144;0;"Momo";"Inventory";false;69.93;"Focus";1;6;9;"ATK flat";94;"ACC";8;0;"-";"-";"-";"-";6;"-";"-";"-";280;16;"-";"Rare";77.07
"RES";7;{"enchanted":false,"gvalue":0};"SPD";15;{"enchanted":false,"gvalue":0};"ACC";12;{"enchanted":false,"gvalue":0};"";0;{};"row_272";272;42508500119;0;0;"Inventory";"Inventory";false;77.68;"Focus";1;6;9;"ATK flat";94;"HP%";8;0;7;"-";"-";12;"-";"-";"-";"-";"-";15;"-";"Hero";84.82
"SPD";17;{"enchanted":false,"gvalue":0};"RES";6;{"enchanted":false,"gvalue":0};"ACC";12;{"enchanted":false,"gvalue":0};"";0;{};"row_273";273;38547333422;38;0;"Jamire";"Inventory";false;72.02;"Focus";1;6;9;"ATK flat";94;"";0;1;6;"-";"-";12;"-";"-";"-";"-";"-";17;"-";"Hero";79.17
"HP flat";534;{"enchanted":false,"gvalue":0};"ATK%";15;{"enchanted":false,"gvalue":0};"SPD";12;{"enchanted":false,"gvalue":0};"CRate";12;{"enchanted":false,"gvalue":0};"row_274";274;39995594602;138;0;"Seara";"Inventory";false;86.34;"Focus";1;6;12;"ATK flat";118;"ACC";4;1;"-";"-";"-";"-";15;"-";"-";"-";534;12;12;"Legend";86.34
"CRate";12;{"enchanted":false,"gvalue":0};"DEF%";6;{"enchanted":false,"gvalue":0};"SPD";16;{"enchanted":false,"gvalue":0};"ATK%";6;{"enchanted":false,"gvalue":0};"row_275";275;35934580787;0;0;"Inventory";"Inventory";false;79.76;"Focus";2;6;12;"HP%";47;"";0;0;"-";"-";"-";"-";6;6;"-";"-";"-";16;12;"Hero";79.76
"CRate";11;{"enchanted":false,"gvalue":0};"CDmg";10;{"enchanted":false,"gvalue":0};"ATK%";13;{"enchanted":false,"gvalue":0};"";0;{};"row_276";276;41402943357;0;0;"Inventory";"Inventory";false;75.38;"Focus";2;6;9;"DEF%";38;"SPD";4;0;"-";10;"-";"-";13;"-";"-";"-";"-";"-";11;"Hero";82.53
"CRate";6;{"enchanted":false,"gvalue":0};"DEF flat";33;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_277";277;41551900800;0;0;"Inventory";"Inventory";false;51.18;"Focus";2;6;6;"SPD";19;"HP flat";255;0;"-";"-";"-";"-";"-";"-";33;"-";"-";"-";6;"Rare";65.46
"DEF%";20;{"enchanted":false,"gvalue":0};"CDmg";6;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_278";278;41597530450;0;0;"Inventory";"Inventory";false;59.69;"Focus";2;6;6;"SPD";19;"";0;0;"-";6;"-";"-";"-";20;"-";"-";"-";"-";"-";"Rare";73.98
"ATK flat";34;{"enchanted":false,"gvalue":0};"RES";11;{"enchanted":false,"gvalue":0};"ACC";8;{"enchanted":false,"gvalue":0};"";0;{};"row_279";279;42673280559;0;0;"Inventory";"Inventory";false;65.89;"Focus";2;6;9;"SPD";25;"ATK%";8;0;11;"-";34;8;"-";"-";"-";"-";"-";"-";"-";"Hero";73.04
"HP flat";472;{"enchanted":false,"gvalue":0};"HP%";8;{"enchanted":false,"gvalue":0};"ATK%";22;{"enchanted":false,"gvalue":0};"";0;{};"row_280";280;43077755035;0;0;"Inventory";"Inventory";true;67;"Focus";2;6;9;"SPD";25;"";0;0;"-";"-";"-";"-";22;"-";"-";8;472;"-";"-";"Hero";74.14
"CDmg";13;{"enchanted":false,"gvalue":0};"ACC";10;{"enchanted":false,"gvalue":0};"ATK flat";34;{"enchanted":false,"gvalue":0};"";0;{};"row_281";281;43236921833;0;0;"Inventory";"Inventory";false;69.93;"Focus";2;6;9;"HP%";38;"SPD";5;0;"-";13;34;10;"-";"-";"-";"-";"-";"-";"-";"Hero";77.07
"HP%";8;{"enchanted":false,"gvalue":0};"RES";22;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_282";282;43360762529;0;0;"Inventory";"Inventory";false;62.5;"Focus";2;6;6;"SPD";19;"";0;0;22;"-";"-";"-";"-";"-";"-";8;"-";"-";"-";"Rare";76.79
"SPD";16;{"enchanted":false,"gvalue":0};"HP flat";354;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_283";283;42187186994;0;0;"Inventory";"Inventory";false;64.38;"Focus";3;6;6;"DEF flat";70;"HP%";7;0;"-";"-";"-";"-";"-";"-";"-";"-";354;16;"-";"Rare";78.67
"ACC";24;{"enchanted":false,"gvalue":0};"RES";14;{"enchanted":false,"gvalue":0};"ATK flat";18;{"enchanted":false,"gvalue":0};"SPD";5;{"enchanted":false,"gvalue":0};"row_284";284;40531235851;0;0;"Inventory";"Inventory";false;80.66;"Focus";4;6;12;"DEF%";47;"HP flat";194;0;14;"-";18;24;"-";"-";"-";"-";"-";5;"-";"Hero";80.66
"ATK flat";19;{"enchanted":false,"gvalue":0};"SPD";16;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_285";285;42346870017;38;0;"Jamire";"Inventory";false;65.3;"Focus";4;6;6;"CDmg";35;"ACC";8;1;"-";"-";19;"-";"-";"-";"-";"-";"-";16;"-";"Rare";79.58
"SPD";10;{"enchanted":false,"gvalue":0};"DEF flat";29;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_286";286;42347782897;0;0;"Inventory";"Inventory";false;58.15;"Focus";4;6;6;"CDmg";35;"ATK%";6;0;"-";"-";"-";"-";"-";"-";29;"-";"-";10;"-";"Rare";72.44
"RES";7;{"enchanted":false,"gvalue":0};"ACC";12;{"enchanted":false,"gvalue":0};"SPD";14;{"enchanted":false,"gvalue":0};"";0;{};"row_287";287;41613819153;0;0;"Inventory";"Inventory";false;69.35;"Focus";4;6;9;"HP%";38;"";0;0;7;"-";"-";12;"-";"-";"-";"-";"-";14;"-";"Hero";76.49
"SPD";12;{"enchanted":false,"gvalue":0};"ACC";13;{"enchanted":false,"gvalue":0};"DEF%";13;{"enchanted":false,"gvalue":0};"";0;{};"row_288";288;38558640789;0;0;"Inventory";"Inventory";false;79.34;"Focus";5;6;9;"HP flat";1440;"CDmg";6;0;"-";"-";"-";13;"-";13;"-";"-";"-";12;"-";"Hero";86.48
"ATK%";22;{"enchanted":false,"gvalue":0};"SPD";14;{"enchanted":false,"gvalue":4};"ACC";8;{"enchanted":false,"gvalue":0};"";0;{};"row_289";289;40201411655;138;0;"Seara";"Inventory";false;83.63;"Focus";5;6;9;"HP flat";1440;"DEF%";5;1;"-";"-";"-";8;22;"-";"-";"-";"-";14;"-";"Hero";90.77
"DEF flat";29;{"enchanted":false,"gvalue":0};"DEF%";21;{"enchanted":false,"gvalue":0};"SPD";4;{"enchanted":false,"gvalue":0};"CDmg";7;{"enchanted":false,"gvalue":0};"row_290";290;43152065228;0;0;"Inventory";"Inventory";false;76.01;"Focus";5;6;9;"HP flat";1440;"RES";5;0;"-";7;"-";"-";"-";21;29;"-";"-";4;"-";"Legend";83.15
"ATK%";8;{"enchanted":false,"gvalue":0};"DEF%";18;{"enchanted":false,"gvalue":0};"SPD";10;{"enchanted":false,"gvalue":0};"";0;{};"row_291";291;43153075046;0;0;"Inventory";"Inventory";false;75.3;"Focus";5;6;9;"HP flat";1440;"HP%";5;0;"-";"-";"-";"-";8;18;"-";"-";"-";10;"-";"Hero";82.44
"SPD";16;{"enchanted":false,"gvalue":0};"DEF flat";10;{"enchanted":false,"gvalue":0};"CRate";9;{"enchanted":false,"gvalue":0};"DEF%";14;{"enchanted":false,"gvalue":0};"row_292";292;38919528697;144;0;"Momo";"Inventory";false;83.84;"Focus";5;6;12;"HP flat";1800;"CDmg";4;0;"-";"-";"-";"-";"-";14;10;"-";"-";16;9;"Legend";83.84
"SPD";17;{"enchanted":false,"gvalue":0};"HP%";5;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_293";293;41065292636;28;0;"Velajuel";"Inventory";false;67.56;"Focus";6;6;6;"DEF%";29;"CDmg";7;1;"-";"-";"-";"-";"-";"-";"-";5;"-";17;"-";"Rare";81.85
"CRate";9;{"enchanted":false,"gvalue":0};"SPD";12;{"enchanted":false,"gvalue":0};"RES";14;{"enchanted":false,"gvalue":0};"";0;{};"row_294";294;41424613930;0;0;"Inventory";"Inventory";false;77.68;"Focus";6;6;9;"ATK%";38;"HP%";5;0;14;"-";"-";"-";"-";"-";"-";"-";"-";12;9;"Hero";84.82
"CRate";10;{"enchanted":false,"gvalue":0};"SPD";12;{"enchanted":false,"gvalue":0};"DEF%";14;{"enchanted":false,"gvalue":0};"HP flat";431;{"enchanted":false,"gvalue":0};"row_295";295;42312824587;0;0;"Inventory";"Inventory";false;85.65;"Focus";6;6;12;"RES";48;"HP%";8;0;"-";"-";"-";"-";"-";14;"-";"-";431;12;10;"Legend";85.65
"DEF%";11;{"enchanted":false,"gvalue":0};"SPD";12;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_296";296;43152434520;0;0;"Inventory";"Inventory";false;59.82;"Focus";6;6;6;"HP%";29;"";0;0;"-";"-";"-";"-";"-";11;"-";"-";"-";12;"-";"Rare";74.11
"RES";15;{"enchanted":false,"gvalue":0};"SPD";8;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_297";297;43215100261;0;0;"Inventory";"Inventory";false;60.51;"Focus";6;6;6;"HP%";29;"HP flat";197;0;15;"-";"-";"-";"-";"-";"-";"-";"-";8;"-";"Rare";74.79
